model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
model6,0,Binding_on,Log10,10,1,2
model6,1,Binding_off,Log10,10000,4,2
model6,2,Rocking_on,Log10,100,2,2
model6,3,Rocking_off,Log10,10000,4,2
model6,4,Gating_on,Log10,1,0,2
model6,5,Gating_off,Log10,10000,4,2
model6,6,BR,Log10,10,1,2
model6,7,BR_0,Log10,1,0,2
model6,8,BR_1,Log10,1,0,2
model6,9,BG,Log10,10,1,2
model6,10,BG_0,Log10,1,0,2
model6,11,BG_1,Log10,1,0,2
model6,12,RG,Log10,10,1,2
model6,13,RG_0,Log10,1,0,2
model6,14,RG_1,Log10,1,0,2
model6,15,Gating_Current,Log10,1,0,2
model6,16,Inactivation_rate,Log10,0.001,-3,2
model6,17,Current_Noise,Log10,0.001,-3,2
model6,18,Pink_Noise,Log10,5.000000000000001,0.6989700043360189,2
model6,19,Proportional_Noise,Log10,0.01,-2,2
model6,20,Current_Baseline,Linear,1,1,2
model6,21,Num_ch,Log10,4999.999999999999,3.698970004336019,2
