model_name,i_par,parameter_name,moment,value
model8,0,Binding_on,mean,10
model8,1,Binding_off,mean,10000
model8,2,Rocking_on,mean,100
model8,3,Rocking_off,mean,10000
model8,4,RBR,mean,100
model8,5,RBR_0,mean,1
model8,6,RBR_1,mean,0.01
model8,7,RBR_2,mean,1
model8,8,Rocking_Current_factor,mean,100
model8,9,Inactivation_rate,mean,0.0001
model8,10,Leaking_current,mean,0.01
model8,11,Current_Noise,mean,0.001
model8,12,Pink_Noise,mean,5
model8,13,Proportional_Noise,mean,0.01
model8,14,Current_Baseline,mean,1
model8,15,Num_ch,mean,5000
