model_name,i_par,parameter_name,moment,value
model8,0,Binding_on,mean,1
model8,1,Binding_off,mean,4
model8,2,Rocking_on,mean,2
model8,3,Rocking_off,mean,4
model8,4,RBR,mean,2
model8,5,RBR_0,mean,0
model8,6,RBR_1,mean,-2
model8,7,RBR_2,mean,0
model8,8,Rocking_Current_factor,mean,2
model8,9,Inactivation_rate,mean,-4
model8,10,Leaking_current,mean,-2
model8,11,Current_Noise,mean,-3
model8,12,Pink_Noise,mean,0.6989700043360189
model8,13,Proportional_Noise,mean,-2
model8,14,Current_Baseline,mean,0
model8,15,Num_ch,mean,3.698970004336019
model8,0,Binding_on,covar,2
model8,1,Binding_off,covar,2
model8,2,Rocking_on,covar,2
model8,3,Rocking_off,covar,2
model8,4,RBR,covar,2
model8,5,RBR_0,covar,2
model8,6,RBR_1,covar,2
model8,7,RBR_2,covar,2
model8,8,Rocking_Current_factor,covar,2
model8,9,Inactivation_rate,covar,2
model8,10,Leaking_current,covar,2
model8,11,Current_Noise,covar,2
model8,12,Pink_Noise,covar,2
model8,13,Proportional_Noise,covar,2
model8,14,Current_Baseline,covar,2
model8,15,Num_ch,covar,2
