model_name,i_par,parameter_name,moment,value
model6,0,Binding_on,mean,1
model6,1,Binding_off,mean,4
model6,2,Rocking_on,mean,2
model6,3,Rocking_off,mean,4
model6,4,Gating_on,mean,0
model6,5,Gating_off,mean,4
model6,6,BR,mean,1
model6,7,BR_0,mean,0
model6,8,BR_1,mean,0
model6,9,BG,mean,1
model6,10,BG_0,mean,0
model6,11,BG_1,mean,0
model6,12,RG,mean,1
model6,13,RG_0,mean,0
model6,14,RG_1,mean,0
model6,15,Gating_Current,mean,0
model6,16,Inactivation_rate,mean,-3
model6,17,Current_Noise,mean,-3
model6,18,Pink_Noise,mean,0.6989700043360189
model6,19,Proportional_Noise,mean,-2
model6,20,Current_Baseline,mean,0
model6,21,Num_ch,mean,3.698970004336019
